"ID" "name_C" "name_lib" "level_C" "order" "name_E" "species" "field_type" "name_code" "name_baiaoyun" "class_standard"
49 "无效荚" "WuXiaoJia" "0_500" 48 NA "soybean" "N" "T048" "无效荚" 207
50 "单株荚数" "DanZhuJiaShu" "0_100" 49 NA "soybean" "N" "T049" "单株荚数" 208
51 "单株粒数" "DanZhuLiShu" "0_1000" 50 NA "soybean" "N" "T050" "单株粒数" 209
52 "单株粒重(g)" "DanZhuLiZhong" "0_200" 51 NA "soybean" "N" "T051" "单株粒重(g)" 210
53 "每荚粒数" "MeiJiaLiShu" "0_5" 52 NA "soybean" "N" "T052" "每荚粒数" 0
54 "粒型" "LiXing" "1-圆_2-扁圆_3-椭圆_4-扁椭圆_5-长椭圆_6-肾_99-分离" 53 NA "soybean" "C" "T053" "粒型" 218
55 "种皮色" "ZhongPiSe" "1-黄色_2-绿色_3-黑色_4-褐色_5-双色_99-分离" 54 NA "soybean" "C" "T054" "种皮色" 216
56 "脐色" "QiSe" "1-黄_2-淡褐_3-褐_4-深褐_5-蓝_6-淡黑_7-黑_99-分离" 55 NA "soybean" "C" "T055" "脐色" 217
57 "子叶色" "ZiYeSe" "1-黄_2-绿_99-分离" 56 NA "soybean" "C" "T056" "子叶色" 0
58 "种皮光泽" "ZhongPiGuangZe" "0-无_1-微_2-强_99-分离" 57 NA "soybean" "C" "T057" "种皮光泽" 219
59 "百粒重(g)" "BaiLiZhong" "1_50" 58 NA "soybean" "N" "T058" "百粒重(g)" 211
60 "完好粒率(%)" "WanHaoLiLv" "0_100" 59 NA "soybean" "N" "T059" "完好粒率(%)" 212
61 "破碎粒率(%)" "PoSuiLiLv" "0_100" 60 NA "soybean" "N" "T060" "破碎粒率(%)" 0
62 "病粒率(%)" "BingLiLv" "0_100" 61 NA "soybean" "N" "T061" "病粒率(%)" 0
63 "紫斑粒率(%)" "ZiBanLiLv" "0_100" 62 NA "soybean" "N" "T062" "紫斑粒率(%)" 213
64 "褐斑粒率(%)" "HeBanLiLv" "0_100" 63 NA "soybean" "N" "T063" "褐斑粒率(%)" 214
65 "霜霉粒率(%)" "ShuangMeiLiLv" "0_100" 64 NA "soybean" "N" "T064" "霜霉粒率(%)" 0
66 "灰斑粒率(%)" "HuiBanLiLv" "0_100" 65 NA "soybean" "N" "T065" "灰斑粒率(%)" 0
67 "虫蚀粒率(%)" "ChongShiLiLv" "0_100" 66 NA "soybean" "N" "T066" "虫蚀粒率(%)" 215
68 "籽粒评价" "ZiLiPingJia" "2-优_0-中_-1-差" 67 NA "soybean" "C" "T067" "籽粒评价" 0
69 "蛋白(%)" "DanBai" "20_60" 68 NA "soybean" "N" "T068" "蛋白(%)" 0
70 "脂肪(%)" "ZhiFang" "5_30" 69 NA "soybean" "N" "T069" "脂肪(%)" 0
71 "蛋脂和(%)" "DanZhiHe" "25_90" 70 NA "soybean" "N" "T070" "蛋脂和(%)" 0
72 "草甘膦抗性" "CaoGanLinKangXing" "1-高抗_3-抗_5-中抗_7-不抗_99-分离" 71 NA "soybean" "C" "T071" "草甘膦抗性" 116
73 "试纸检测" "ShiZhiJianCe" NA 72 NA "soybean" "any" "T072" "试纸检测" 0
74 "含基因" "HanJiYin" NA 73 NA "soybean" "any" "T073" "含基因" 0
75 "播种盆数" "BoZhongPenShu" "0_5000" 74 NA "soybean" "N" "T074" "播种盆数" 0
76 "播种粒数" "BoZhongLiShu" "0_10000" 75 NA "soybean" "N" "T075" "播种粒数" 0
77 "出苗数" "ChuMiaoShu" "0_10000" 76 NA "soybean" "N" "T076" "出苗数" 302
78 "出苗率" "ChuMiaoLiShu" "0_100" 77 NA "soybean" "N" "T077" "出苗率" 0
79 "耐盐性" "NaiYanXing" "1-耐旱_2-中耐_3-不耐_4-较敏感_5-敏感_99-分离" 78 NA "soybean" "C" "T078" "耐盐性" 0
80 "耐旱性" "NaiHanXing" "1-耐旱_2-中耐_3-不耐_99-分离" 79 NA "soybean" "C" "T079" "耐旱性" 0
81 "始花期" "ShiHuaQi" NA 80 NA "soybean" "D" "T080" "始花期" 0
82 "杂交花数" "ZaJiaoHuaShu" "0_5000" 81 NA "soybean" "N" "T081" "杂交花数" 0
83 "成活荚数" "ChengHuoJiaShu" "0_200" 82 NA "soybean" "N" "T082" "成活荚数" 0
84 "杂交粒数" "ZhaJiaoliShu" "0_5000" 83 NA "soybean" "N" "T083" "杂交粒数" 0
85 "初熟期" "ChuShuQi" NA 84 NA "soybean" "D" "T084" "初熟期" 0
86 "完熟期" "WanShuQi" NA 85 NA "soybean" "D" "T085" "完熟期" 0
87 "回复率" "HuiFuLv" "0_100" 86 NA "soybean" "N" "T086" "回复率" 0
88 "SSR不合格位点" "SSRBuHeGeWeiDian" NA 87 NA "soybean" "any" "T087" "SSR不合格位点" 0
