"编码TRAIT_CODE" "性状名称TRAIT_NAME" "名称缩写ABBR_NAME" "性状类型TRAIT_TYPE" "单位UNIT" "最小值MIN_VALUE" "最大值MAX_VALUE" "精度SCALE" "排序ORDER" "列表值LIST,VALUES" "CATEGORY" "性状分组TRAIT_GROUP" "计算公式FORMULA"
"T105" "脂肪_C" "zhifang" 1 "%" 10 30 2 47 NA "ChinaSeed" "quality" NA
"T106" "含基因_C" "hanjiyin" 4 NA NA NA NA 48 NA "ChinaSeed" "combination" NA
"T107" "回交备注_C" "huijiaobeizhu" 4 NA NA NA NA 49 NA "ChinaSeed" "combination" NA
"T108" "父本备注_C" "fubenbeizhu" 4 NA NA NA NA 50 NA "ChinaSeed" "combination" NA
"T109" "做花数_C" "zuohuashu" 1 NA 0 1000 2 51 NA "ChinaSeed" "combination" NA
"T110" "成活荚数_C" "chenghuojiashu" 1 NA 0 1000 2 52 NA "ChinaSeed" "combination" NA
"T111" "收获粒数_C" "shouhuolishu" 1 NA 0 1000 2 53 NA "ChinaSeed" "combination" NA
"T112" "抗拟茎点种腐_C" "kangnijingdianzhongfu" 3 NA NA NA NA 12 "0-免疫,1-高抗,3-抗,7-感,9-高感" "ChinaSeed" "field" NA
"T113" "核心亲本_C" "hexinqinben" 3 NA NA NA NA 54 "0-否,1-是" "ChinaSeed" "field" NA
"T114" "抗病_C" "kangbing" 3 NA NA NA NA 55 "0-免疫,1-高抗,3-抗,7-感,9-高感" "ChinaSeed" "field" NA
"T115" "抗虫_C" "kangchong" 3 NA NA NA NA 56 "0-免疫,1-高抗,3-抗,5-中抗,7-感,9-高感" "ChinaSeed" "field" NA
