"ID" "name_C" "name_lib" "level_C" "order" "name_E" "level_E" "species" "field_type" "name_code" "name_baiaoyun" "class_standard" "level_code"
16 "倒伏性" "DaoFuXing" "7-重倒" 15 NA "1-BuDao_3-QingDao_5-ZhongDao_7-ZhongDao_9-YanZhongDao_99-FenLi" "soybean" "C" "T015" "倒伏性" 0 "T015-7-"
16 "倒伏性" "DaoFuXing" "9-严重倒" 15 NA "1-BuDao_3-QingDao_5-ZhongDao_7-ZhongDao_9-YanZhongDao_99-FenLi" "soybean" "C" "T015" "倒伏性" 0 "T015-9-"
16 "倒伏性" "DaoFuXing" "99-分离" 15 NA "1-BuDao_3-QingDao_5-ZhongDao_7-ZhongDao_9-YanZhongDao_99-FenLi" "soybean" "C" "T015" "倒伏性" 0 "T015-99-"
17 "早衰性" "ZaoShuaiXing" "0-否" 16 NA "0-Fou_1-Shi_99-FenLi" "soybean" "C" "T016" "早衰性" 0 "T016-0-"
17 "早衰性" "ZaoShuaiXing" "1-是" 16 NA "0-Fou_1-Shi_99-FenLi" "soybean" "C" "T016" "早衰性" 0 "T016-1-"
17 "早衰性" "ZaoShuaiXing" "99-分离" 16 NA "0-Fou_1-Shi_99-FenLi" "soybean" "C" "T016" "早衰性" 0 "T016-99-"
18 "株型" "ZhuXing" "3-收敛型" 17 NA "3-ShouLianXing_5-BanKaiZhang_7-KaiZhang_99-FenLi" "soybean" "C" "T017" "株型" 0 "T017-3-"
18 "株型" "ZhuXing" "5-半开张" 17 NA "3-ShouLianXing_5-BanKaiZhang_7-KaiZhang_99-FenLi" "soybean" "C" "T017" "株型" 0 "T017-5-"
18 "株型" "ZhuXing" "7-开张" 17 NA "3-ShouLianXing_5-BanKaiZhang_7-KaiZhang_99-FenLi" "soybean" "C" "T017" "株型" 0 "T017-7-"
18 "株型" "ZhuXing" "99-分离" 17 NA "3-ShouLianXing_5-BanKaiZhang_7-KaiZhang_99-FenLi" "soybean" "C" "T017" "株型" 0 "T017-99-"
19 "落叶性" "LuoYeXing" "1-不落" 18 NA "1-BuLuo_2-BanLuo_3-Luo_99-FenLi" "soybean" "C" "T018" "落叶性" 0 "T018-1-"
19 "落叶性" "LuoYeXing" "2-半落" 18 NA "1-BuLuo_2-BanLuo_3-Luo_99-FenLi" "soybean" "C" "T018" "落叶性" 0 "T018-2-"
