"ma" "pa" "memo"
"冀豆12" "中联豆5046" "转化体:中黄6106"
"中品661" "中联豆6003" "转化体:中黄6106"
"冀豆27" "中联豆6024" "转化体:中黄6106"
"冀豆33" "中联豆5046" "转化体:中黄6106"
"涡豆5" "中联豆5046" "转化体:中黄6106"
"涡豆8" "中联豆6036" "转化体:中黄6106"
"宿豆051" "中联豆6024" "转化体:中黄6106"
"洛豆1号" "中联豆6024" "转化体:中黄6106"
"冀豆17" "中联豆6001" "转化体:中黄6106"
"中豆63" "中联豆6001" "转化体:中黄6106"
"圣豆101" "中联豆6001" "转化体:中黄6106"
"皖豆37" "中联豆6036" "转化体:中黄6106"
"科豆35" "中联豆6036" "转化体:中黄6106"
"科豆42" "中联豆6003" "转化体:中黄6106"
"郓豆1号" "中联豆6003" "转化体:中黄6106"
